link,pumps,pumps,pumps,pumps,pumps,pumps
id,P78,P78,P78,P79,P79,P79
properties,flow,energy,status,flow,energy,status
0 days 07:45:00,737.1960074133946,227.02520133029023,1.0,737.1960074133946,227.02520133029023,1.0
0 days 07:50:00,737.1960079373096,227.02520147093992,1.0,737.1960079373096,227.02520147093992,1.0
0 days 07:55:00,737.1960073903928,227.02520132411522,1.0,737.1960073903928,227.02520132411522,1.0
0 days 08:00:00,737.1960068851126,227.02520118846817,1.0,737.1960068851126,227.02520118846817,1.0
0 days 08:05:00,737.1960073403048,227.02520131066868,1.0,737.1960073403048,227.02520131066868,1.0
0 days 08:10:00,737.1960076795312,227.025201401737,1.0,737.1960076795312,227.025201401737,1.0
0 days 08:15:00,737.1960083093019,227.02520157080468,1.0,737.1960083093019,227.02520157080468,1.0
0 days 08:20:00,737.1960071665652,227.02520126402663,1.0,737.1960071665652,227.02520126402663,1.0
0 days 08:25:00,737.1960077378856,227.0252014174028,1.0,737.1960077378856,227.0252014174028,1.0
0 days 08:30:00,737.1960071735984,227.0252012659148,1.0,737.1960071735984,227.0252012659148,1.0
0 days 08:35:00,737.1960075006212,227.02520135370708,1.0,737.1960075006212,227.02520135370708,1.0
0 days 08:40:00,737.1960085930444,227.02520164697785,1.0,737.1960085930444,227.02520164697785,1.0
0 days 08:45:00,737.1960077756548,227.0252014275423,1.0,737.1960077756548,227.0252014275423,1.0
0 days 08:50:00,737.1960077416064,227.02520141840168,1.0,737.1960077416064,227.02520141840168,1.0
0 days 08:55:00,737.1960076894769,227.02520140440703,1.0,737.1960076894769,227.02520140440703,1.0
0 days 09:00:00,737.1960075561838,227.02520136862324,1.0,737.1960075561838,227.02520136862324,1.0
0 days 09:05:00,737.1960072157742,227.02520127723733,1.0,737.1960072157742,227.02520127723733,1.0
0 days 09:10:00,737.1960066361341,227.02520112162767,1.0,737.1960066361341,227.02520112162767,1.0
0 days 09:15:00,737.1960079030115,227.0252014617323,1.0,737.1960079030115,227.0252014617323,1.0
0 days 09:20:00,737.196007724303,227.0252014137564,1.0,737.196007724303,227.0252014137564,1.0
0 days 09:25:00,737.1960069737909,227.02520121227465,1.0,737.1960069737909,227.02520121227465,1.0
0 days 09:30:00,737.1960077302646,227.02520141535686,1.0,737.1960077302646,227.02520141535686,1.0
0 days 09:35:00,737.1960072929697,227.02520129796108,1.0,737.1960072929697,227.02520129796108,1.0
0 days 09:40:00,737.1960082184286,227.02520154640885,1.0,737.1960082184286,227.02520154640885,1.0
0 days 09:45:00,737.1960076495568,227.0252013936901,1.0,737.1960076495568,227.0252013936901,1.0
0 days 09:50:00,737.1960086109904,227.02520165179564,1.0,737.1960086109904,227.02520165179564,1.0
0 days 09:55:00,737.1960075907074,227.02520137789148,1.0,737.1960075907074,227.02520137789148,1.0
0 days 10:00:00,737.1960065455277,227.02520109730358,1.0,737.1960065455277,227.02520109730358,1.0
0 days 10:05:00,737.1960072642422,227.02520129024887,1.0,737.1960072642422,227.02520129024887,1.0
0 days 10:10:00,737.196007583329,227.02520137591065,1.0,737.196007583329,227.02520137591065,1.0
0 days 10:15:00,737.1960081512798,227.02520152838218,1.0,737.1960081512798,227.02520152838218,1.0
0 days 10:20:00,737.196007497796,227.02520135294859,1.0,737.196007497796,227.02520135294859,1.0
0 days 10:25:00,737.1960076924655,227.0252014052094,1.0,737.1960076924655,227.0252014052094,1.0
0 days 10:30:00,737.1960075815674,227.02520137543775,1.0,737.1960075815674,227.02520137543775,1.0
0 days 10:35:00,737.196008306284,227.02520156999446,1.0,737.196008306284,227.02520156999446,1.0
0 days 10:40:00,737.196007107656,227.02520124821194,1.0,737.196007107656,227.02520124821194,1.0
0 days 10:45:00,737.1960080639882,227.02520150494794,1.0,737.1960080639882,227.02520150494794,1.0
0 days 10:50:00,737.1960068510833,227.02520117933273,1.0,737.1960068510833,227.02520117933273,1.0
0 days 10:55:00,737.1960074668057,227.02520134462895,1.0,737.1960074668057,227.02520134462895,1.0
0 days 11:00:00,737.1960077062549,227.02520140891124,1.0,737.1960077062549,227.02520140891124,1.0
0 days 11:05:00,737.1960072301126,227.02520128108654,1.0,737.1960072301126,227.02520128108654,1.0
0 days 11:10:00,737.1960073847713,227.02520132260605,1.0,737.1960073847713,227.02520132260605,1.0
0 days 11:15:00,737.1960079529177,227.02520147513007,1.0,737.1960079529177,227.02520147513007,1.0
0 days 11:20:00,737.1960073078152,227.0252013019465,1.0,737.1960073078152,227.0252013019465,1.0
0 days 11:25:00,737.1960082150883,227.02520154551218,1.0,737.1960082150883,227.02520154551218,1.0
0 days 11:30:00,737.1960070151235,227.02520122337077,1.0,737.1960070151235,227.02520122337077,1.0
0 days 11:35:00,737.196007439906,227.02520133740745,1.0,737.196007439906,227.02520133740745,1.0
0 days 11:40:00,737.1960083220982,227.0252015742399,1.0,737.1960083220982,227.0252015742399,1.0
0 days 11:45:00,737.1960081315947,227.02520152309754,1.0,737.1960081315947,227.02520152309754,1.0
0 days 11:50:00,737.1960074254998,227.02520133354002,1.0,737.1960074254998,227.02520133354002,1.0
0 days 11:55:00,737.1960079403154,227.02520147174687,1.0,737.1960079403154,227.02520147174687,1.0
0 days 12:00:00,737.1960077085869,227.02520140953732,1.0,737.1960077085869,227.02520140953732,1.0
0 days 12:05:00,737.1960079352666,227.02520147039147,1.0,737.1960079352666,227.02520147039147,1.0
0 days 12:10:00,737.1960077576492,227.02520142270848,1.0,737.1960077576492,227.02520142270848,1.0
0 days 12:15:00,737.1960080365003,227.02520149756862,1.0,737.1960080365003,227.02520149756862,1.0
0 days 12:20:00,737.1960072803784,227.02520129458085,1.0,737.1960072803784,227.02520129458085,1.0
0 days 12:25:00,737.1960079140897,227.02520146470638,1.0,737.1960079140897,227.02520146470638,1.0
0 days 12:30:00,737.1960071105993,227.02520124900215,1.0,737.1960071105993,227.02520124900215,1.0
0 days 12:35:00,737.196007459666,227.02520134271222,1.0,737.196007459666,227.02520134271222,1.0
0 days 12:40:00,737.1960077039291,227.02520140828685,1.0,737.1960077039291,227.02520140828685,1.0
0 days 12:45:00,737.1960078542281,227.02520144863598,1.0,737.1960078542281,227.02520144863598,1.0
